'd	d	d
'em	ə m	ə m
'll	ə l	ə l
'neath	n iː θ	n iː θ
're	ə	ə
'tis	t ɪ z	t ɪ z
'tween	t w iː n	t w iː n
'tween-decks	t w iː n d ɛ k s	t w iː n . d ɛ k s
'twere	t w ɜː	t w ɜː
'twill	t w ɪ l	t w ɪ l
'twixt	t w ɪ k s t	t w ɪ k s t
'twould	t w ʊ d	t w ʊ d
'un	w ʌ n	w ʌ n
've	ə v	ə v
A-bombs	eɪ b ɒ m z	eɪ . b ɒ m z
A-level	eɪ l ɛ v l̩	eɪ . l ɛ . v l̩
A-levels	eɪ l ɛ v l̩ z	eɪ . l ɛ . v l̩ z
A/C	eɪ s iː	eɪ . s iː
AA	eɪ eɪ	eɪ . eɪ
AAs	eɪ eɪ z	eɪ . eɪ z
ABC	eɪ b iː s iː	eɪ . b iː . s iː
ABC's	eɪ b iː s iː z	eɪ . b iː . s iː z
ABCs	eɪ b iː s iː z	eɪ . b iː . s iː z
AD	eɪ d iː	eɪ . d iː
ADC	eɪ d iː s iː	eɪ . d iː . s iː
Aborigine	æ b ə ɹ ɪ d͡ʒ ɪ n ɪ	æ . b ə . ɹ ɪ . d͡ʒ ɪ . n ɪ
Aborigines	æ b ə ɹ ɪ d͡ʒ ɪ n ɪ z	æ . b ə . ɹ ɪ . d͡ʒ ɪ . n ɪ z
Achilles	ə k ɪ l iː z	ə . k ɪ . l iː z
Achilles tendon	ə k ɪ l iː z t ɛ n d ə n	ə . k ɪ . l iː z . t ɛ n . d ə n
Achilles tendons	ə k ɪ l iː z t ɛ n d ə n z	ə . k ɪ . l iː z . t ɛ n . d ə n z
Achilles' heel	ə k ɪ l iː z h iː l	ə . k ɪ . l iː z . h iː l
Achilles' heels	ə k ɪ l iː z h iː l z	ə . k ɪ . l iː z . h iː l z
Acropolis	ə k ɹ ɒ p ə l ɪ s	ə . k ɹ ɒ . p ə . l ɪ s
Acts	æ k t s	æ k t s
Adam's apple	æ d ə m z æ p l̩	æ . d ə m z . æ . p l̩
Adam's apples	æ d ə m z æ p l̩ z	æ . d ə m z . æ . p l̩ z
Addressograph	ə d ɹ ɛ s əʊ ɡ ɹ ɑː f	ə . d ɹ ɛ . s əʊ . ɡ ɹ ɑː f
Addressographs	ə d ɹ ɛ s əʊ ɡ ɹ ɑː f s	ə . d ɹ ɛ . s əʊ . ɡ ɹ ɑː f s
Adventists	æ d v ə n t ɪ s t s	æ d . v ə n . t ɪ s t s
Afghan	æ f ɡ æ n	æ f . ɡ æ n
Afghani	æ f ɡ ɑː n ɪ	æ f . ɡ ɑː . n ɪ
Afghanis	æ f ɡ ɑː n ɪ z	æ f . ɡ ɑː . n ɪ z
Afghanistan	æ f ɡ æ n ɪ s t æ n	æ f . ɡ æ . n ɪ . s t æ n
Afghanistani	æ f ɡ æ n ɪ s t æ n ɪ	æ f . ɡ æ . n ɪ . s t æ . n ɪ
Afghanistanis	æ f ɡ æ n ɪ s t æ n ɪ z	æ f . ɡ æ . n ɪ . s t æ . n ɪ z
Afghans	æ f ɡ æ n z	æ f . ɡ æ n z
African	æ f ɹ ɪ k ə n	æ . f ɹ ɪ . k ə n
Africans	æ f ɹ ɪ k ə n z	æ . f ɹ ɪ . k ə n z
Afrikaner	æ f ɹ ɪ k ɑː n ə	æ . f ɹ ɪ . k ɑː . n ə
Afrikaners	æ f ɹ ɪ k ɑː n ə z	æ . f ɹ ɪ . k ɑː . n ə z
Afro	æ f ɹ əʊ	æ . f ɹ əʊ
Afro-Americans	æ f ɹ əʊ ə m ɛ ɹ ɪ k ə n z	æ . f ɹ əʊ . ə . m ɛ . ɹ ɪ . k ə n z
Afro-Asian	æ f ɹ əʊ eɪ ʃ n̩	æ . f ɹ əʊ . eɪ . ʃ n̩
Afro-wig	æ f ɹ əʊ w ɪ ɡ	æ . f ɹ əʊ . w ɪ ɡ
Afro-wigs	æ f ɹ əʊ w ɪ ɡ z	æ . f ɹ əʊ . w ɪ ɡ z
Afros	æ f ɹ əʊ z	æ . f ɹ əʊ z
Agnus Dei	æ ɡ n ə s d eɪ iː	æ ɡ . n ə s . d eɪ . iː
Airedale	ɛə d eɪ l	ɛə . d eɪ l
Airedales	ɛə d eɪ l z	ɛə . d eɪ l z
Al	æ l	æ l
Albania	æ l b eɪ n j ə	æ l . b eɪ . n j ə
Albanian	æ l b eɪ n j ə n	æ l . b eɪ . n j ə n
Albanians	æ l b eɪ n j ə n z	æ l . b eɪ . n j ə n z
Algeria	æ l d͡ʒ ɪə ɹ ɪə	æ l . d͡ʒ ɪə . ɹ ɪə
Algerian	æ l d͡ʒ ɪə ɹ ɪə n	æ l . d͡ʒ ɪə . ɹ ɪə n
Algerians	æ l d͡ʒ ɪə ɹ ɪə n z	æ l . d͡ʒ ɪə . ɹ ɪə n z
Alice	æ l ɪ s	æ . l ɪ s
Allah	æ l ə	æ . l ə
Almighty	ɔː l m aɪ t ɪ	ɔː l . m aɪ . t ɪ
Alsace	æ l s æ s	æ l . s æ s
Alsatian	æ l s eɪ ʃ n̩	æ l . s eɪ . ʃ n̩
Alsatians	æ l s eɪ ʃ n̩ z	æ l . s eɪ . ʃ n̩ z
AmE	æ m ɛ ɹ ɪ k ə n ɪ ŋ ɡ l ɪ ʃ	æ . m ɛ . ɹ ɪ . k ə n . ɪ ŋ . ɡ l ɪ ʃ
American Indian	ə m ɛ ɹ ɪ k ə n ɪ n d j ə n	ə . m ɛ . ɹ ɪ . k ə n . ɪ n . d j ə n
American football	ə m ɛ ɹ ɪ k ə n f ʊ t b ɔː l	ə . m ɛ . ɹ ɪ . k ə n . f ʊ t . b ɔː l
Americanism	ə m ɛ ɹ ɪ k ə n ɪ z ə m	ə . m ɛ . ɹ ɪ . k ə . n ɪ . z ə m
Americanisms	ə m ɛ ɹ ɪ k ə n ɪ z ə m z	ə . m ɛ . ɹ ɪ . k ə . n ɪ . z ə m z
Amerindian	æ m ə ɹ ɪ n d j ə n	æ . m ə . ɹ ɪ n . d j ə n
Amerindians	æ m ə ɹ ɪ n d j ə n z	æ . m ə . ɹ ɪ n . d j ə n z
Amhara	æ m h ɑː ɹ ə	æ m . h ɑː . ɹ ə
Amharic	æ m h æ ɹ ɪ k	æ m . h æ . ɹ ɪ k
Andorra	æ n d ɔː ɹ ə	æ n . d ɔː . ɹ ə
Andorran	æ n d ɔː ɹ ə n	æ n . d ɔː . ɹ ə n
Andorrans	æ n d ɔː ɹ ə n z	æ n . d ɔː . ɹ ə n z
Anglican	æ ŋ ɡ l ɪ k ə n	æ ŋ . ɡ l ɪ . k ə n
Anglicanism	æ ŋ ɡ l ɪ k ə n ɪ z ə m	æ ŋ . ɡ l ɪ . k ə . n ɪ . z ə m
Anglicans	æ ŋ ɡ l ɪ k ə n z	æ ŋ . ɡ l ɪ . k ə n z
Anglo-American	æ ŋ ɡ l əʊ ə m ɛ ɹ ɪ k ə n	æ ŋ . ɡ l əʊ . ə . m ɛ . ɹ ɪ . k ə n
Anglo-Americans	æ ŋ ɡ l əʊ ə m ɛ ɹ ɪ k ə n z	æ ŋ . ɡ l əʊ . ə . m ɛ . ɹ ɪ . k ə n z
Anglo-Catholicism	æ ŋ ɡ l əʊ k æ θ ɒ l ə s ɪ z ə m	æ ŋ . ɡ l əʊ . k æ . θ ɒ . l ə . s ɪ . z ə m
Anglo-Catholics	æ ŋ ɡ l əʊ k æ θ ə l ɪ k s	æ ŋ . ɡ l əʊ . k æ . θ ə . l ɪ k s
Anglo-Indian	æ ŋ ɡ l əʊ ɪ n d j ə n	æ ŋ . ɡ l əʊ . ɪ n . d j ə n
Anglo-Indians	æ ŋ ɡ l əʊ ɪ n d j ə n z	æ ŋ . ɡ l əʊ . ɪ n . d j ə n z
Anglo-Saxon	æ ŋ ɡ l əʊ s æ k s ə n	æ ŋ . ɡ l əʊ . s æ k . s ə n
Anglo-Saxons	æ ŋ ɡ l əʊ s æ k s ə n z	æ ŋ . ɡ l əʊ . s æ k . s ə n z
Anglomania	æ ŋ ɡ l əʊ m eɪ n j ə	æ ŋ . ɡ l əʊ . m eɪ . n j ə
Anglophile	æ ŋ ɡ l əʊ f aɪ l	æ ŋ . ɡ l əʊ . f aɪ l
Anglophiles	æ ŋ ɡ l əʊ f aɪ l z	æ ŋ . ɡ l əʊ . f aɪ l z
Anglophilia	æ ŋ ɡ l əʊ f ɪ l ɪə	æ ŋ . ɡ l əʊ . f ɪ . l ɪə
Anglophobe	æ ŋ ɡ l əʊ f əʊ b	æ ŋ . ɡ l əʊ . f əʊ b
Angola	æ ŋ ɡ əʊ l ə	æ ŋ . ɡ əʊ . l ə
Angolan	æ ŋ ɡ əʊ l ə n	æ ŋ . ɡ əʊ . l ə n
Angolans	æ ŋ ɡ əʊ l ə n z	æ ŋ . ɡ əʊ . l ə n z
Anguilla	æ ŋ ɡ w ɪ l ə	æ ŋ . ɡ w ɪ . l ə
Anguillan	æ ŋ ɡ w ɪ l ə n	æ ŋ . ɡ w ɪ . l ə n
Anno Domini	æ n əʊ d ɒ m ɪ n aɪ	æ . n əʊ . d ɒ . m ɪ . n aɪ
Antarctic	æ n t ɑː t ɪ k	æ n . t ɑː . t ɪ k
Antigua	æ n t iː ɡ ə	æ n . t iː . ɡ ə
Antiguan	æ n t iː ɡ ə n	æ n . t iː . ɡ ə n
Antiguans	æ n t iː ɡ ə n z	æ n . t iː . ɡ ə n z
Antipodes	æ n t ɪ p ə d iː z	æ n . t ɪ . p ə . d iː z
Apr.	eɪ p ɹ ə l	eɪ . p ɹ ə l
April	eɪ p ɹ ə l	eɪ . p ɹ ə l
Aprils	eɪ p ɹ ə l z	eɪ . p ɹ ə l z
Aquarius	ə k w ɛə ɹ ɪə s	ə . k w ɛə . ɹ ɪə s
Aquariuses	ə k w ɛə ɹ ɪə s ɪ z	ə . k w ɛə . ɹ ɪə . s ɪ z
Arab	æ ɹ ə b	æ . ɹ ə b
Arabia	ə ɹ eɪ b j ə	ə . ɹ eɪ . b j ə
Arabian	ə ɹ eɪ b j ə n	ə . ɹ eɪ . b j ə n
Arabic	æ ɹ ə b ɪ k	æ . ɹ ə . b ɪ k
Arabic numeral	æ ɹ ə b ɪ k n j uː m ə ɹ ə l	æ . ɹ ə . b ɪ k . n j uː . m ə . ɹ ə l
Arabic numerals	æ ɹ ə b ɪ k n j uː m ə ɹ ə l z	æ . ɹ ə . b ɪ k . n j uː . m ə . ɹ ə l z
Arabists	æ ɹ ə b ɪ s t s	æ . ɹ ə . b ɪ s t s
Arabs	æ ɹ ə b z	æ . ɹ ə b z
Arcadia	ɑː k eɪ d j ə	ɑː . k eɪ . d j ə
Arcadian	ɑː k eɪ d j ə n	ɑː . k eɪ . d j ə n
Arcadians	ɑː k eɪ d j ə n z	ɑː . k eɪ . d j ə n z
Arctic	ɑː k t ɪ k	ɑː k . t ɪ k
Arctic Circle	ɑː k t ɪ k s ɜː k l̩	ɑː k . t ɪ k . s ɜː . k l̩
Argentine	ɑː d͡ʒ ə n t aɪ n	ɑː . d͡ʒ ə n . t aɪ n
Argentines	ɑː d͡ʒ ə n t aɪ n z	ɑː . d͡ʒ ə n . t aɪ n z
Argentinian	ɑː d͡ʒ ə n t ɪ n ɪə n	ɑː . d͡ʒ ə n . t ɪ . n ɪə n
Argentinians	ɑː d͡ʒ ə n t ɪ n ɪə n z	ɑː . d͡ʒ ə n . t ɪ . n ɪə n z
Argonaut	ɑː ɡ ə n ɔː t	ɑː . ɡ ə . n ɔː t
Argus	ɑː ɡ ə s	ɑː . ɡ ə s
Argus-eyed	ɑː ɡ ə s aɪ d	ɑː . ɡ ə s . aɪ d
Aries	ɛə ɹ iː z	ɛə . ɹ iː z
Ark of the Covenant	ɑː k ɒ v ð ə k ʌ v ə n ə n t	ɑː k . ɒ v . ð ə . k ʌ . v ə . n ə n t
Arthur	ɑː θ ə	ɑː . θ ə
Aryan	ɛə ɹ ɪə n	ɛə . ɹ ɪə n
Ash Wednesday	æ ʃ w ɛ n z d ɪ	æ ʃ . w ɛ n z . d ɪ
Asia	eɪ ʃ ə	eɪ . ʃ ə
Asian	eɪ ʃ n̩	eɪ . ʃ n̩
Asiatic	eɪ ʃ ɪ æ t ɪ k	eɪ . ʃ ɪ . æ . t ɪ k
Attic	æ t ɪ k	æ . t ɪ k
Aug.	ɔː ɡ ə s t	ɔː . ɡ ə s t
August	ɔː ɡ ə s t	ɔː . ɡ ə s t
Augustan	ɔː ɡ ʌ s t ə n	ɔː . ɡ ʌ . s t ə n
Aunt Sally	ɑː n t s æ l ɪ	ɑː n t . s æ . l ɪ
Aussie	ɒ z ɪ	ɒ . z ɪ
Aussies	ɒ z ɪ z	ɒ . z ɪ z
Australasia	ɒ s t ɹ ə l eɪ ʒ j ə	ɒ . s t ɹ ə . l eɪ . ʒ j ə
Australasian	ɒ s t ɹ ə l eɪ ʒ n̩	ɒ . s t ɹ ə . l eɪ . ʒ n̩
Australasians	ɒ s t ɹ ə l eɪ ʒ n̩ z	ɒ . s t ɹ ə . l eɪ . ʒ n̩ z
Australia	ɒ s t ɹ eɪ l j ə	ɒ . s t ɹ eɪ . l j ə
Australian	ɒ s t ɹ eɪ l j ə n	ɒ . s t ɹ eɪ . l j ə n
Australian Rules football	ɒ s t ɹ eɪ l j ə n ɹ uː l z f ʊ t b ɔː l	ɒ . s t ɹ eɪ . l j ə n . ɹ uː l z . f ʊ t . b ɔː l
Australians	ɒ s t ɹ eɪ l j ə n z	ɒ . s t ɹ eɪ . l j ə n z
Austria	ɒ s t ɹ ɪə	ɒ . s t ɹ ɪə
Austrian	ɒ s t ɹ ɪə n	ɒ . s t ɹ ɪə n
Austrians	ɒ s t ɹ ɪə n z	ɒ . s t ɹ ɪə n z
Authorized Version	ɔː θ ə ɹ aɪ z d v ɜː ʃ n̩	ɔː . θ ə . ɹ aɪ z d . v ɜː . ʃ n̩
Automobile Association	ɔː t ə m əʊ b iː l ə s əʊ s ɪ eɪ ʃ n̩	ɔː . t ə . m əʊ . b iː l . ə . s əʊ . s ɪ . eɪ . ʃ n̩
Ave.	æ v ə n j uː	æ . v ə . n j uː
B.S.	b iː ɛ s	b iː . ɛ s
BA	b eɪ	b eɪ
BBC	b iː b iː s iː	b iː . b iː . s iː
BC	b iː s iː	b iː . s iː
BO	b əʊ	b əʊ
BR	b ɹ ɪ t ɪ ʃ ɹ eɪ l	b ɹ ɪ . t ɪ ʃ . ɹ eɪ l
Bactria	b æ k t ɹ ɪə	b æ k . t ɹ ɪə
Bactrian	b æ k t ɹ ɪə n	b æ k . t ɹ ɪə n
Bactrians	b æ k t ɹ ɪə n z	b æ k . t ɹ ɪə n z
Bahamas	b ə h ɑː m ə z	b ə . h ɑː . m ə z
Bahamian	b ə h eɪ m ɪə n	b ə . h eɪ . m ɪə n
Bahamians	b ə h eɪ m ɪə n z	b ə . h eɪ . m ɪə n z
Bahasa Indonesia	b ə h ɑː s ə ɹ ɪ n d əʊ n iː z j ə	b ə . h ɑː . s ə . ɹ ɪ n . d əʊ . n iː . z j ə
Bahrain	b ɑː ɹ eɪ n	b ɑː . ɹ eɪ n
Bahraini	b ɑː ɹ eɪ n ɪ	b ɑː . ɹ eɪ . n ɪ
Bahrainis	b ɑː ɹ eɪ n ɪ z	b ɑː . ɹ eɪ . n ɪ z
Bailey	b eɪ l ɪ	b eɪ . l ɪ
Bailey bridges	b eɪ l ɪ b ɹ ɪ d͡ʒ ɪ z	b eɪ . l ɪ . b ɹ ɪ . d͡ʒ ɪ z
Band-Aid	b æ n d eɪ d	b æ n d . eɪ d
Band-Aids	b æ n d eɪ d z	b æ n d . eɪ d z
Bangladesh	b æ ŋ ɡ l ə d ɛ ʃ	b æ ŋ . ɡ l ə . d ɛ ʃ
Bangladeshi	b æ ŋ ɡ l ə d ɛ ʃ ɪ	b æ ŋ . ɡ l ə . d ɛ . ʃ ɪ
Bangladeshis	b æ ŋ ɡ l ə d ɛ ʃ ɪ z	b æ ŋ . ɡ l ə . d ɛ . ʃ ɪ z
Bantu	b æ n t uː	b æ n . t uː
Bantus	b æ n t uː z	b æ n . t uː z
Baptist	b æ p t ɪ s t	b æ p . t ɪ s t
Baptists	b æ p t ɪ s t s	b æ p . t ɪ s t s
Bar	b ɑː	b ɑː
Barbadian	b ɑː b eɪ d ɪə n	b ɑː . b eɪ . d ɪə n
Barbadians	b ɑː b eɪ d ɪə n z	b ɑː . b eɪ . d ɪə n z
Barbados	b ɑː b eɪ d ɒ s	b ɑː . b eɪ . d ɒ s
Bath	b ɑː θ	b ɑː θ
Bath-chair	b ɑː θ t͡ʃ ɛə	b ɑː θ . t͡ʃ ɛə
Bath-chairs	b ɑː θ t͡ʃ ɛə z	b ɑː θ . t͡ʃ ɛə z
Beaujolais	b əʊ ʒ ə l eɪ	b əʊ . ʒ ə . l eɪ
Begon	b ə ɡ ɒ̃ː ŋ	b ə . ɡ ɒ̃ː ŋ
Behemoth	b ɪ h iː m ɒ θ	b ɪ . h iː . m ɒ θ
Behemoths	b ɪ h iː m ɒ θ s	b ɪ . h iː . m ɒ θ s
Belgian	b ɛ l d͡ʒ ə n	b ɛ l . d͡ʒ ə n
Belgians	b ɛ l d͡ʒ ə n z	b ɛ l . d͡ʒ ə n z
Belgium	b ɛ l d͡ʒ ə m	b ɛ l . d͡ʒ ə m
Belisha	b ɪ l iː ʃ ə	b ɪ . l iː . ʃ ə
Belisha beacon	b ɪ l iː ʃ ə b iː k ə n	b ɪ . l iː . ʃ ə . b iː . k ə n
Benedict	b ɛ n ɪ d ɪ k t	b ɛ . n ɪ . d ɪ k t
Benedictine	b ɛ n ɪ d ɪ k t ɪ n	b ɛ . n ɪ . d ɪ k . t ɪ n
Benedictines	b ɛ n ɪ d ɪ k t ɪ n z	b ɛ . n ɪ . d ɪ k . t ɪ n z
Benedictus	b ɛ n ɪ d ɪ k t ə s	b ɛ . n ɪ . d ɪ k . t ə s
Bengalese	b ɛ ŋ ɡ ə l iː z	b ɛ ŋ . ɡ ə . l iː z
Bengali	b ɛ ŋ ɡ ɔː l ɪ	b ɛ ŋ . ɡ ɔː . l ɪ
Benin	b ɛ n ɪ n	b ɛ . n ɪ n
Beninese	b ɛ n ɪ n iː z	b ɛ . n ɪ . n iː z
Bermuda	b ə m j uː d ə	b ə . m j uː . d ə
Bhutan	b uː t ɑː n	b uː . t ɑː n
Bhutani	b uː t ɑː n ɪ	b uː . t ɑː . n ɪ
Bhutanis	b uː t ɑː n ɪ z	b uː . t ɑː . n ɪ z
Bible	b aɪ b l̩	b aɪ . b l̩
Big Dipper	b ɪ ɡ d ɪ p ə	b ɪ ɡ . d ɪ . p ə
Bill of Exchange	b ɪ l ɒ v ɪ k s t͡ʃ eɪ n d͡ʒ	b ɪ l . ɒ v . ɪ k s . t͡ʃ eɪ n d͡ʒ
Billingsgate	b ɪ l ɪ ŋ z ɡ ɪ t	b ɪ . l ɪ ŋ z . ɡ ɪ t
Bills of Exchange	b ɪ l z ɒ v ɪ k s t͡ʃ eɪ n d͡ʒ	b ɪ l z . ɒ v . ɪ k s . t͡ʃ eɪ n d͡ʒ
Black Country	b l æ k k ʌ n t ɹ ɪ	b l æ k . k ʌ n . t ɹ ɪ
Black Death	b l æ k d ɛ θ	b l æ k . d ɛ θ
Black Marias	b l æ k m ə ɹ aɪ ə z	b l æ k . m ə . ɹ aɪ . ə z
Black Mass	b l æ k m æ s	b l æ k . m æ s
Black Masses	b l æ k m æ s ɪ z	b l æ k . m æ . s ɪ z
Black Muslim	b l æ k m ʊ s l ɪ m	b l æ k . m ʊ . s l ɪ m
Black Muslims	b l æ k m ʊ s l ɪ m z	b l æ k . m ʊ . s l ɪ m z
Black Panther	b l æ k p æ n θ ə	b l æ k . p æ n . θ ə
Black Panthers	b l æ k p æ n θ ə z	b l æ k . p æ n . θ ə z
Blackshirt	b l æ k ʃ ɜː t	b l æ k . ʃ ɜː t
Blackshirts	b l æ k ʃ ɜː t s	b l æ k . ʃ ɜː t s
Blessed Sacrament	b l ɛ s ɪ d s æ k ɹ ə m ə n t	b l ɛ . s ɪ d . s æ . k ɹ ə . m ə n t
Blessed Virgin Mary	b l ɛ s ɪ d v ɜː d͡ʒ ɪ n m ɛə ɹ ɪ	b l ɛ . s ɪ d . v ɜː . d͡ʒ ɪ n . m ɛə . ɹ ɪ
Blimp	b l ɪ m p	b l ɪ m p
Blimpish	b l ɪ m p ɪ ʃ	b l ɪ m . p ɪ ʃ
Blimps	b l ɪ m p s	b l ɪ m p s
Bob	b ɒ b	b ɒ b
Boche	b ɒ ʃ	b ɒ ʃ
Boches	b ɒ ʃ ɪ z	b ɒ . ʃ ɪ z
Boer	b ɔː	b ɔː
Boers	b ɔː z	b ɔː z
Bohemia	b əʊ h iː m j ə	b əʊ . h iː . m j ə
Bolivian	b ə l ɪ v ɪə n	b ə . l ɪ . v ɪə n
Bolivians	b ə l ɪ v ɪə n z	b ə . l ɪ . v ɪə n z
Bolshevik	b ɒ l ʃ ɪ v ɪ k	b ɒ l . ʃ ɪ . v ɪ k
Bolsheviks	b ɒ l ʃ ɪ v ɪ k s	b ɒ l . ʃ ɪ . v ɪ k s
Bolshevism	b ɒ l ʃ ɪ v ɪ z ə m	b ɒ l . ʃ ɪ . v ɪ . z ə m
Bordeaux	b ɔː d əʊ	b ɔː . d əʊ
Border	b ɔː d ə	b ɔː . d ə
Boston	b ɒ s t ə n	b ɒ . s t ə n
Bowdler	b aʊ d l ə	b aʊ d . l ə
Bowie	b aʊ ɪ	b aʊ . ɪ
Box and Cox	b ɒ k s æ n d k ɒ k s	b ɒ k s . æ n d . k ɒ k s
Boxing Day	b ɒ k s ɪ ŋ d eɪ	b ɒ k . s ɪ ŋ . d eɪ
Boxing Days	b ɒ k s ɪ ŋ d eɪ z	b ɒ k . s ɪ ŋ . d eɪ z
Br	b ɹ ʌ ð ə	b ɹ ʌ . ð ə
BrE	b ɹ ɪ t ɪ ʃ ɪ ŋ ɡ l ɪ ʃ	b ɹ ɪ . t ɪ ʃ . ɪ ŋ . ɡ l ɪ ʃ
Brahmin	b ɹ ɑː m ɪ n	b ɹ ɑː . m ɪ n
Brazil	b ɹ ə z ɪ l	b ɹ ə . z ɪ l
Brazilian	b ɹ ə z ɪ l j ə n	b ɹ ə . z ɪ . l j ə n
Brazilians	b ɹ ə z ɪ l j ə n z	b ɹ ə . z ɪ . l j ə n z
Bren	b ɹ ɛ n	b ɹ ɛ n
Bren-gun	b ɹ ɛ n ɡ ʌ n	b ɹ ɛ n . ɡ ʌ n
Bren-guns	b ɹ ɛ n ɡ ʌ n z	b ɹ ɛ n . ɡ ʌ n z
Brens	b ɹ ɛ n z	b ɹ ɛ n z
Brie	b ɹ iː	b ɹ iː
Bright	b ɹ aɪ t	b ɹ aɪ t
Bright's disease	b ɹ aɪ t s d ɪ z iː z	b ɹ aɪ t s . d ɪ . z iː z
Brit	b ɹ ɪ t	b ɹ ɪ t
Britain	b ɹ ɪ t n̩	b ɹ ɪ . t n̩
Britannic	b ɹ ɪ t æ n ɪ k	b ɹ ɪ . t æ . n ɪ k
British English	b ɹ ɪ t ɪ ʃ ɪ ŋ ɡ l ɪ ʃ	b ɹ ɪ . t ɪ ʃ . ɪ ŋ . ɡ l ɪ ʃ
British thermal unit	b ɹ ɪ t ɪ ʃ θ ɜː m l̩ j uː n ə t	b ɹ ɪ . t ɪ ʃ . θ ɜː . m l̩ . j uː . n ə t
British thermal units	b ɹ ɪ t ɪ ʃ θ ɜː m l̩ j uː n ə t s	b ɹ ɪ . t ɪ ʃ . θ ɜː . m l̩ . j uː . n ə t s
Britisher	b ɹ ɪ t ɪ ʃ ə	b ɹ ɪ . t ɪ . ʃ ə
